,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,nb_users_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,nb_users_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,nb_users_fix,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,nb_users,type
balek_inProgress,0.07994698999838915,1.5741976242735904e-07,0.5121951219512195,6.8309,2692.0,0.08720170892382235,1.6285699384283843e-07,0.6376811594202898,5.48435,9652.0,0.09357359537068019,2.0764410102998504e-07,0.8082361258395193,4.64185,3319.0,,,,,,inProgress
balek_original,0.0719545550178834,1.6214779189815913e-07,0.5507246376811595,6.9181,5900.0,0.0814222756685678,1.6119539177570372e-07,0.6086956521739132,5.9847,12512.0,0.0883065090442956,2.132354723214925e-07,0.8405797101449275,5.0931,4432.0,,,,,,original
jrigole_inProgress,0.0727633868251059,1.514285255852361e-07,0.18840579710144925,8.3095,79.0,0.06265946386106595,2.0832916623503338e-07,0.6231884057971014,6.8633500000000005,5117.0,0.0615563298490127,2.663451079449104e-07,0.5942028985507247,5.8041,3621.0,,,,,,inProgress
jrigole_original,0.0778164924506387,1.477675940917501e-07,0.2028985507246376,8.1951,821.0,0.0689379987722529,1.835343978594161e-07,0.5217391304347827,7.4222,22466.0,0.0664451827242525,2.403847972432499e-07,0.6231884057971014,6.1502,12598.0,,,,,,original
penserais_inProgress,0.0923076923076923,1.460557364655181e-07,0.4492753623188405,5.573,299.0,0.09478504729565845,2.2976436744214747e-07,0.9004948745139626,5.06415,280.0,0.0941752924759364,2.916279458781164e-07,2.353658536585366,5.222049999999999,14.0,,,,,,inProgress
penserais_original,0.0903270353399033,1.5170707011337445e-07,0.4878048780487806,6.2518,10943.0,0.0841530054644808,2.1866570099367265e-07,0.7391304347826088,5.5065,6308.0,0.0737273511647972,3.314975280255672e-07,0.902439024390244,5.6502,269.0,,,,,,original
bip_inProgress,0.067335997620359,2.1127467712484248e-07,0.48550724637681175,6.48315,479.0,0.06669209179207694,2.46987573548278e-07,0.7354188759278899,6.4262,1014.0,0.06456474386973546,2.8504565864659515e-07,0.6956521739130433,6.3393999999999995,9159.0,,,,,,inProgress
bip_original,0.0974959424994203,1.6081804840660418e-07,0.4492753623188405,7.1245,4841.0,0.0900130296496527,2.031186750211492e-07,0.6341463414634145,6.493499999999999,1202.0,0.08477275528612885,2.6262238428490496e-07,0.8405797101449275,6.277,8826.0,,,,,,original
fatiguante_inProgress,0.0903195924038906,1.5634011899885065e-07,0.2463768115942029,7.437,430.0,0.0747126436781609,1.92831637955482e-07,0.4782608695652176,7.3308,1106.0,0.0717761025847083,2.306248205916368e-07,0.6666666666666666,6.5357,2409.0,,,,,,inProgress
fatiguante_original,0.0884615384615384,1.420783449525955e-07,0.391304347826087,7.4299,1372.0,0.08235060634753275,1.625954274055198e-07,0.5507246376811595,7.225,1376.0,0.07490909735181785,2.2378758516556132e-07,0.8181818181818182,6.4326,1833.0,,,,,,original
jvien_inProgress,0.0733790999237223,1.5512919477993224e-07,0.3478260869565218,8.3093,7495.0,0.0702107618038384,2.003527596994575e-07,0.5,6.525399999999999,2211.0,0.0714285714285714,2.314631895283502e-07,0.4927536231884059,6.0115,851.0,,,,,,inProgress
jvien_original,0.07185630986427985,1.5724880743885282e-07,0.3623188405797102,8.6348,11186.0,0.06554320652992375,2.2556982836367353e-07,0.5362318840579711,7.2546,3201.0,0.0637623762376237,2.6877053352916575e-07,0.5942028985507247,6.9296,1442.0,,,,,,original
repenser_inProgress,0.1186052986174439,5.338691844279582e-07,1.5454545454545456,12.1414,1238.0,0.12207569432068775,4.7023530133465277e-07,1.3897306397306397,12.1174,2072.0,0.1093760965278105,5.792910593064438e-07,1.9090909090909096,11.8609,9966.0,,,,,,inProgress
repenser_original,0.08820798428291735,1.422678953356169e-07,0.4347826086956524,6.7862,4193.0,0.0856290995825879,1.5678044948750628e-07,0.5072463768115942,6.5391,3083.0,0.0802797406570991,2.3575953825706466e-07,0.7681159420289856,5.9107,11008.0,,,,,,original
update_inProgress,0.093521421107628,2.784482231590314e-07,0.5652173913043479,6.3306,855.0,0.0684877248655059,2.578608676166365e-07,0.6818181818181819,5.4904,14498.0,0.07423692305739485,2.5256947121007924e-07,0.7704216073781291,5.522349999999999,10062.0,,,,,,inProgress
update_original,0.1034570200635703,2.372783187623029e-07,0.7391304347826088,6.8827,5467.0,0.0871036349574632,2.76870688572468e-07,0.9545454545454546,5.4155,14320.0,0.0812655043338056,3.1120393301304246e-07,1.1219512195121952,5.18515,8885.0,,,,,,original
licornes_inProgress,0.06415221009096395,4.629087287488196e-06,6.5454545454545485,13.4453,4.0,0.1081013868886011,6.394903727103862e-07,2.2500000000000004,12.11685,374.0,0.095973170995961,9.253979643275704e-07,3.4772727272727275,12.06485,1230.0,,,,,,inProgress
licornes_original,0.091358024691358,1.374213286345728e-07,0.4782608695652176,5.8435,2726.0,0.0963455149501661,1.5789670609909046e-07,0.5942028985507247,5.7852,4006.0,0.0935863940148062,2.66633892071255e-07,1.0000000000000002,7.00085,8427.0,,,,,,original
ogre_inProgress,0.13771478946374222,1.8884702454336354e-07,0.5,7.64335,142.0,0.1159686090877558,2.3577599409856177e-07,0.7037037037037038,6.7532,1042.0,0.1063963341911995,3.066448404378939e-07,0.9420289855072462,5.532,3181.0,,,,,,inProgress
ogre_original,0.09722058164887465,1.41333006737436e-07,0.22233201581027662,7.35165,223.0,0.085126582278481,1.789659224161795e-07,0.4927536231884059,6.955,1376.0,0.0837606837606837,3.000474196549924e-07,0.951219512195122,6.5798,2201.0,,,,,,original
