form,sigma,sigma_err,center,center_err,amplitude,amplitude_er,height,height_err,fwhm,fwhm_err,redchi,chisqr,maxPoint
ecoute,6.987024289365147,,93.81314662509193,,1.948963554212526e+37,,802960.2238400198,,1.299232129555098e+23,,0.000248227145015022,0.014148947265856254,59
fraiche,7.835271880741764,,84.1638172582138,,1.2204126861696418e+24,,0.3736568769088175,,78778359141102.12,,4.2872107602541866e-05,0.0024437101333448863,59
comiques,9.2237958030442,,113.68670759888902,,1.324594898532886e+32,,0.7229619995773178,,1.3833963870087466e+17,,2.785318966969478e-05,0.0015876318111726026,59
luxe,5.731845317703578,6.200657268020176,35.45633974226597,71.29355963774785,44636840.07780845,1636333117.8477223,0.01690374067986509,0.003212060964807146,11510.555308756659,87575.37190452832,1.865608753072568e-05,0.0010633969892513639,14
uber,10.512966811119089,8.691936205074953,104.54004273800089,170.26425812634008,1.5999926703238095e+21,1.272949288666646e+23,0.02408733455058603,0.012660547139837995,599.2291361329676,3533.05837619291,3.7977184022828516e-05,0.0021646994893012254,1
donf,6.270418719597984,,78.17465641170462,,5.799638425143422e+31,,142567.49828442716,,1.2064197533038502e+20,,2.5411477181133513e-05,0.0014484541993246103,59
yu,4.270012839495449,,46.57320693173461,,7.516856003917944e+22,,379557.93951898284,,310036215039641.4,,2.2393566133705905e-05,0.0012764332696212366,59
insinue,3.7688076971661375,,46.129977969954695,,2.6389948613719657e+28,,31368224201.643322,,6200204044792858.0,,3.7688462784475145e-05,0.0021482423787150835,59
bourre,7.387970973610043,,96.33857635930899,,2.1308217632259916e+35,,11857.021371651508,,8.173076038289813e+21,,5.004308680004612e-05,0.002852455947602629,59
réjouit,5.426096445213183,,69.26093621742538,,5.902088373213985e+32,,89361080.36479239,,1.168182636287241e+20,,4.6038952647696265e-05,0.002624220300918687,59
can,0.9150850286603599,0.2509939766397546,3.4105278277231714,0.37870025946004593,1.253181524335807,0.4104718166814026,0.02742357515622102,0.00530814902827167,34.03435692358085,10.553243518137256,0.0003962998673799726,0.02258909244065844,13
torturer,2.0432558605911204,,25.48509783868014,,1.3852438488677846e+25,,186484613732147.3,,19776977239.942818,,3.966189463492107e-05,0.002260727994190501,59
speak,6.467372194685717,,78.48341414589756,,1.5255151536751903e+30,,9360.125223860325,,1.6856358852854852e+19,,5.684631515223847e-05,0.003240239963677593,59
recette,0.8742504880642986,0.09758672836416374,3.701444570964219,0.16043195301354352,1.4370174995963554,0.21183447443961198,0.02372400162367979,0.001615097342331211,46.06034637309519,6.502446298166042,4.445607659152911e-05,0.002533996365717159,19
cave,6.4300888767542554,,71.75162271110601,,2.8628041248524093e+25,,116.50111099421495,,3.1113884823679708e+16,,5.0853423890215276e-05,0.0028986451617422707,59
nu,5.704288313234277,,70.13684712431075,,3.6221039571495675e+30,,1021779.7784525438,,1.7596412651483589e+19,,7.842739628733637e-05,0.004470361588378173,59
math,5.345555113765473,,60.865216456678716,,8.166810971416064e+25,,36017.67881476483,,5.713331182163033e+16,,0.00010821910173962183,0.006168488799158444,59
bob,1.5510967662360355,0.2712397899972313,5.012451356337435,0.7977225689936401,3.585473406818739,1.835608177979422,0.020434900014973698,0.0015024897500993447,81.98696294772613,26.3727917731799,4.159337055041433e-05,0.0023708221213736167,14
georges,6.188045694389487,,59.11240948791845,,3.256881406003837e+18,,0.9224604351199035,,1608569712875.3447,,3.016818979580094e-05,0.0017195868183606535,59
diam,6.281311681058292,,57.28661809757373,,7.892991163720483e+16,,0.24454386494324404,,90391910427.89238,,5.197502811070514e-05,0.002962576602310193,59
act,3.0850957715394483,0.5781485055122058,12.03364250784226,3.5472700731176867,198.75455704377632,384.71327976358106,0.01780661786517558,0.0005393250525752976,467.5701148302364,322.31195695088206,5.854033339950142e-06,0.0003336799003771581,12
sombre,7.445249036370186,,78.22950494497105,,8.434123560845451e+22,,0.5215265287725915,,51052852860547.34,,1.0385577422517488e-05,0.0005919779130834968,59
concerné,3.545355624966501,,46.701821885967576,,6.2079221965243085e+32,,195566890575023.0,,4.327605551774739e+16,,3.542300711764739e-05,0.0020191114057059012,59
wikipedia,5.375644666987838,,73.49330471906168,,4.328492890090074e+37,,73131417226.86024,,1.3076240864047297e+22,,7.278630370575891e-05,0.004148819311228258,59
ololo,2.380445717438471,,30.801384153181587,,5.254287060673142e+28,,6285849583973060.0,,1353802889857.1467,,6.982784849342023e-05,0.003980187364124953,59
balader,2.9385632295136586,,37.78447972792451,,8.841974126497807e+29,,350617067254444.0,,145069077880820.4,,3.487303419357072e-05,0.001987762949033531,59
m6,4.336874148998187,,54.19268626717866,,2.5519223811526164e+30,,8302809473.247181,,3.8439661468950355e+17,,3.4689940651358386e-05,0.001977326617127428,59
daft,3.4012525939834295,1.8088915982016465,16.085899469964392,14.15689047142442,4694.77078670494,40575.525739679426,0.0184901410868205,0.0021593901744298757,5022.669052616592,20156.198586326656,2.0019061167232144e-05,0.0011410864865322322,59
punk,2.560955477364194,0.7930142613851519,10.535185769464906,4.7546325009590795,166.47079705819658,511.5492482401909,0.01830761207283776,0.0009711806543440301,1085.2660978700992,1791.5605218519654,1.627817938214382e-05,0.0009278562247821976,53
réécoute,7.752993741997032,,100.40181960328879,,9.59155813308038e+34,,1386.3023468542153,,2.9068592753604255e+21,,2.7965879941139228e-05,0.001594055156644936,59
ladies,3.214381843025375,1.2919408845253815,14.11634574970743,9.160119212343877,1090.586407663058,5920.066605555086,0.017556637179259333,0.0006922664757149203,1935.700051182499,4660.379845658121,1.6289349075079565e-05,0.0009284928972795351,44
délicieux,5.90196977324849,,61.704516367345555,,1.1921727533045575e+22,,47.01807385207739,,487497659759667.4,,3.943721349735869e-05,0.0022479211693494454,59
restau,2.5054328705268465,,29.911184807389635,,2.626845671501912e+24,,986903465220.7102,,349989530244.6513,,1.3863631965750865e-05,0.0007902270220477993,59
indien,8.404462343210978,,99.71091389047643,,3.6459728186860976e+29,,1.8728649876063503,,8.415399643627304e+16,,5.2892864287346926e-05,0.0030148932643787748,59
fringues,2.6206228388183117,,34.74012888257468,,1.1868988765232972e+31,,4.578964661152758e+16,,27796223527210.008,,0.00011119483192614488,0.006338105419790258,59
impatiemment,5.597552328327459,,71.94136934666422,,2.2673514585961624e+33,,58678221.194761276,,3.1508988006487576e+20,,6.183474103293145e-05,0.003524580238877093,59
