form,sigma,sigma_err,center,center_err,amplitude,amplitude_er,redchi,chisqr
ecoute,29.864855720469187,33.72719650180646,345.49187293937774,901890.5872225977,525.1499577615682,15762712.487346083,0.00023117029346418576,0.013176706727458588
fraiche,48.41097106835606,66.53431024448456,79.4347054594259,300.8127525424104,0.06101354451208423,0.2127863884049714,4.477923684385053e-05,0.00255241650009948
comiques,59.14773494567564,64.82930847650624,652.6038099718294,2195127.657631082,581.6648757798115,21502265.698891237,2.3507849271059264e-05,0.001339947408450378
luxe,457.60000293084255,28858.276133558644,1304.2278116870013,576322.5251197775,0.2813144578140314,287.15491187794703,2.3154331478529547e-05,0.0013197968942761842
uber,688.8447145797138,128648.91441046863,3978.6872742157398,40424067.24744005,5.036558967387082,288074.70910814276,4.3826138901367015e-05,0.00249808991737792
donf,34.00445389195418,13.119534745837399,274.0672700431698,13003.197564159109,18.960310617082353,7170.8156896627315,1.942991255210596e-05,0.0011075050154700397
yu,14.810880511825752,2.811150193058053,43.912887800989964,7.642515299847821,0.050019359635882846,0.011517913231206175,2.1954576754159555e-05,0.0012514108749870946
insinue,18.51639614102393,4.461774603029347,78.34584555168246,41.073510281798534,0.1741787728865371,0.2626481835525039,3.0409803574625362e-05,0.0017333588037536456
bourre,36.528558185134145,22.71324062814163,431.3589039749768,1046446.5116521332,855.8773367462792,24420976.795279644,3.9323397056312995e-05,0.0022414336322098406
réjouit,28.09813034726283,11.373859892378205,320.92331203261426,236174.06121227494,425.7626262255198,3563622.25322594,3.667340486032613e-05,0.0020903840770385893
can,0.75400187542795,2.1395837857598603,6.700206853803752,2.4375994524761193,0.018187303918197693,0.0029121935582368456,0.00042436930217508293,0.024189050223979727
torturer,12.504296504099873,2.49929051067341,191.5488239134177,203452.6568816981,2712.75993963234,43980589.21740207,3.304035947571157e-05,0.0018833004901155595
speak,27.02558050216931,14.574114087481513,67.45001415545157,74.37866312767343,0.07581002512888232,0.1191894329682388,5.435444498963129e-05,0.003098203364408984
recette,1.6884556067255625,1.1615480872362713,6.829406679556556,1.3211303437347275,0.018352741479893016,0.0010880836850972627,5.50221690285176e-05,0.003136263634625503
cave,35.475630279239304,25.97677589203181,110.0237243943519,277.91358862247864,0.15871693214586877,0.8840808569936037,5.197201261514753e-05,0.002962404719063409
nu,29.818002508179003,18.342412327188573,195.99410198869728,3433.4870250802906,3.7050508546844694,410.79683292285375,7.386105121235939e-05,0.0042100799191044855
